location,date,total_cases,total_deaths
Japan,616,1411443.0,15851.0
Japan,617,1434370.0,15896.0
Japan,618,1454364.0,15946.0
Japan,619,1469327.0,15994.0
Japan,620,1486153.0,16041.0
Japan,621,1507223.0,16123.0
Japan,622,1524679.0,16184.0
Japan,623,1541529.0,16247.0
Japan,624,1556998.0,16313.0
Japan,625,1571372.0,16354.0
Japan,626,1580517.0,16387.0
Japan,627,1590994.0,16436.0
Japan,628,1603112.0,16525.0
Japan,629,1613841.0,16603.0
Japan,630,1623019.0,16690.0
Japan,631,1632091.0,16742.0
Japan,632,1639545.0,16797.0
Japan,633,1644443.0,16846.0
Japan,634,1650318.0,16894.0
Japan,635,1657004.0,16959.0
Japan,636,1663024.0,17030.0
Japan,637,1668136.0,17097.0
Japan,638,1673144.0,17156.0
Japan,639,1676711.0,17204.0
Japan,640,1679116.0,17233.0
Japan,641,1681120.0,17276.0
Japan,642,1683965.0,17319.0
Japan,643,1687422.0,17421.0
Japan,644,1689899.0,17421.0
Japan,645,1692387.0,17453.0
Japan,646,1694675.0,17482.0
Japan,647,1696061.0,17511.0
Japan,648,1697631.0,17551.0
Japan,649,1699636.0,17605.0
Japan,650,1701309.0,17648.0
Japan,651,1702819.0,17683.0
Japan,652,1704083.0,17716.0
Japan,653,1705046.0,17730.0
Japan,654,1705778.0,17756.0
Japan,655,1706675.0,17789.0
Japan,656,1707752.0,17819.0
Japan,657,1708742.0,17856.0
Japan,658,1709609.0,17902.0
Japan,659,1710394.0,17927.0
Japan,660,1710973.0,17941.0
Japan,661,1711391.0,17959.0
Japan,662,1711935.0,17986.0
Japan,663,1712649.0,18020.0
Japan,664,1713268.0,18051.0
Japan,665,1713802.0,18078.0
Japan,666,1714308.0,18092.0
Japan,667,1714720.0,18103.0
Japan,668,1715017.0,18121.0
Japan,669,1715364.0,18146.0
Japan,670,1715737.0,18157.0
Japan,671,1716088.0,18173.0
Japan,672,1716393.0,18183.0
Japan,673,1716692.0,18191.0
Japan,674,1716938.0,18199.0
Japan,675,1717104.0,18207.0
Japan,676,1717367.0,18221.0
Japan,677,1717709.0,18228.0
Japan,678,1717980.0,18237.0
Japan,679,1722323.0,18253.0
Japan,680,1722610.0,18261.0
Japan,681,1722864.0,18268.0
Japan,682,1722966.0,18275.0
Japan,683,1723162.0,18282.0
Japan,684,1723395.0,18290.0
Japan,685,1723599.0,18296.0
Japan,686,1723799.0,18306.0
Japan,687,1724037.0,18309.0
Japan,688,1724200.0,18310.0
Japan,689,1724319.0,18313.0
Japan,690,1724514.0,18316.0
Japan,691,1724718.0,18318.0
Japan,692,1724938.0,18323.0
Japan,693,1725121.0,18323.0
Japan,694,1725320.0,18325.0
Japan,695,1725466.0,18327.0
Japan,696,1725561.0,18327.0
Japan,697,1725696.0,18331.0
Japan,698,1725901.0,18336.0
Japan,699,1726063.0,18342.0
Japan,700,1726219.0,18342.0
Japan,701,1726333.0,18347.0
Japan,702,1726474.0,18347.0
Japan,703,1726522.0,18349.0
Japan,704,1726624.0,18351.0
Japan,705,1726705.0,18352.0
Japan,706,1726823.0,18353.0
Japan,707,1726944.0,18357.0
Japan,708,1727062.0,18358.0
Japan,709,1727143.0,18358.0
Japan,710,1727221.0,18359.0
Japan,711,1727304.0,18360.0
Japan,712,1727431.0,18362.0
Japan,713,1727560.0,18363.0
Japan,714,1727701.0,18364.0
Japan,715,1727828.0,18364.0
Japan,716,1727942.0,18364.0
Japan,717,1728015.0,18365.0
Japan,718,1728113.0,18367.0
Japan,719,1728237.0,18369.0
Japan,720,1728410.0,18371.0
Japan,721,1728548.0,18372.0
Japan,722,1728689.0,18373.0
Japan,723,1728820.0,18373.0
Japan,724,1728907.0,18374.0
Japan,725,1729035.0,18375.0
Japan,726,1729208.0,18376.0
Japan,727,1729401.0,18378.0
Japan,728,1729582.0,18379.0
Japan,729,1729777.0,18379.0
Japan,730,1729964.0,18379.0
Japan,731,1730112.0,18379.0
Japan,732,1730335.0,18381.0
Japan,733,1730602.0,18383.0
Japan,734,1730905.0,18386.0
Japan,735,1731199.0,18386.0
Japan,736,1731515.0,18387.0
Japan,737,1731789.0,18387.0
Japan,738,1732007.0,18387.0
Japan,739,1732369.0,18389.0
Japan,740,1732835.0,18393.0
Japan,741,1733325.0,18393.0
Japan,742,1733788.0,18393.0
Japan,743,1734292.0,18393.0
Japan,744,1734808.0,18395.0
Japan,745,1735591.0,18396.0
Japan,746,1736847.0,18397.0
Japan,747,1739353.0,18398.0
Japan,748,1743547.0,18398.0
Japan,749,1749530.0,18400.0
Japan,750,1757460.0,18402.0
Japan,751,1765604.0,18403.0
Japan,752,1771998.0,18405.0
Japan,753,1778827.0,18407.0
Japan,754,1791070.0,18412.0
Japan,755,1809010.0,18414.0
Japan,756,1830251.0,18425.0
Japan,757,1852958.0,18431.0
Japan,758,1879839.0,18433.0
Japan,759,1903190.0,18434.0
Japan,760,1933052.0,18444.0
Japan,761,1972893.0,18457.0
Japan,762,2017531.0,18469.0
Japan,763,2067062.0,18478.0
Japan,764,2121242.0,18490.0
Japan,765,2169653.0,18506.0
Japan,766,2216829.0,18523.0
Japan,767,2277762.0,18559.0
Japan,768,2347498.0,18599.0
Japan,769,2421443.0,18642.0
Japan,770,2502437.0,18686.0
Japan,771,2584596.0,18729.0
Japan,772,2669638.0,18764.0
Japan,773,2730828.0,18792.0
Japan,774,2811050.0,18871.0
Japan,775,2904438.0,18949.0
Japan,776,3007476.0,19039.0
Japan,777,3106775.0,19131.0
Japan,778,3207724.0,19257.0
Japan,779,3300589.0,19324.0
Japan,780,3372297.0,19446.0
Japan,781,3468242.0,19587.0
Japan,782,3566188.0,19742.0
Japan,783,3666285.0,19917.0
Japan,784,3764458.0,20059.0
Japan,785,3831964.0,20202.0
Japan,786,3912198.0,20359.0
Japan,787,3975779.0,20494.0
Japan,788,4055675.0,20701.0
Japan,789,4146197.0,20954.0
Japan,790,4241800.0,21198.0
Japan,791,4334739.0,21433.0
Japan,792,4411892.0,21636.0
Japan,793,4484753.0,21821.0
Japan,794,4540656.0,22000.0
Japan,795,4607029.0,22272.0
Japan,796,4684839.0,22529.0
Japan,797,4750496.0,22755.0
Japan,798,4815692.0,23011.0
Japan,799,4885353.0,23270.0
Japan,800,4954620.0,23270.0
Japan,801,5005892.0,23633.0
Japan,802,5067735.0,23860.0
Japan,803,5139305.0,24092.0
Japan,804,5210263.0,24349.0
Japan,805,5274596.0,24604.0
Japan,806,5338116.0,24789.0
Japan,807,5393533.0,24935.0
Japan,808,5434108.0,25049.0
Japan,809,5483524.0,25281.0
Japan,810,5546271.0,25486.0
Japan,811,5609096.0,25697.0
Japan,812,5665066.0,25860.0
Japan,813,5720394.0,26029.0
Japan,814,5772396.0,26154.0
Japan,815,5808242.0,26262.0
Japan,816,5853891.0,26442.0
Japan,817,5911813.0,26600.0
Japan,818,5966960.0,26764.0
Japan,819,6016206.0,26919.0
Japan,820,6061939.0,27045.0
Japan,821,6104090.0,27045.0
Japan,822,6131791.0,27176.0
Japan,823,6153211.0,27246.0
Japan,824,6189816.0,27356.0
Japan,825,6238879.0,27485.0
Japan,826,6287107.0,27601.0
Japan,827,6334154.0,27699.0
Japan,828,6377719.0,27767.0
Japan,829,6410635.0,27831.0
Japan,830,6452108.0,27913.0
Japan,831,6504873.0,28010.0
Japan,832,6552920.0,28097.0
Japan,833,6606464.0,28200.0
Japan,834,6653841.0,28248.0
Japan,835,6702086.0,28286.0
Japan,836,6735920.0,28327.0
Japan,837,6778235.0,28387.0
Japan,838,6832377.0,28456.0
Japan,839,6887421.0,28528.0
Japan,840,6939525.0,28590.0
Japan,841,6991687.0,28646.0
Japan,842,7039563.0,28684.0
Japan,843,7072699.0,28721.0
Japan,844,7124030.0,28765.0
Japan,845,7180734.0,28825.0
Japan,846,7180734.0,28825.0
Japan,847,7287343.0,28884.0
Japan,848,7334352.0,28992.0
Japan,849,7374251.0,29023.0
Japan,850,7402533.0,29049.0
Japan,851,7440164.0,29102.0
Japan,852,7487624.0,29151.0
Japan,853,7535033.0,29201.0
Japan,854,7577841.0,29257.0
Japan,855,7621562.0,29284.0
Japan,856,7660012.0,29308.0
Japan,857,7688507.0,29344.0
Japan,858,7725765.0,29402.0
Japan,859,7771536.0,29467.0
Japan,860,7813849.0,29506.0
Japan,861,7851326.0,29548.0
Japan,862,7876508.0,29567.0
Japan,863,7901933.0,29601.0
Japan,864,7925130.0,29631.0
Japan,865,7952192.0,29683.0
Japan,866,7978912.0,29708.0
Japan,867,8000280.0,29726.0
Japan,868,8023895.0,29761.0
Japan,869,8058591.0,29785.0
Japan,870,8099533.0,29813.0
Japan,871,8133197.0,29843.0
Japan,872,8172238.0,29894.0
